Target Distance: 100, Step Size: 2
154: (x, y) = (25.7135, -0.341985)
155: (x, y) = (27.7108, -0.446656)
156: (x, y) = (28.3948, 1.43273)
157: (x, y) = (26.5404, 2.18194)
158: (x, y) = (26.1931, 0.212326)
159: (x, y) = (24.4439, 1.18195)
160: (x, y) = (25.591, 2.82025)
161: (x, y) = (27.5883, 2.71558)
162: (x, y) = (25.8922, 3.77542)
163: (x, y) = (25.7179, 1.78303)
164: (x, y) = (25.683, -0.216668)
165: (x, y) = (27.1924, 1.09545)
166: (x, y) = (28.2225, -0.618885)
167: (x, y) = (26.2374, -0.862624)
168: (x, y) = (28.05, -1.70786)
169: (x, y) = (27.7717, -3.6884)
170: (x, y) = (28.89, -5.34647)
171: (x, y) = (29.3059, -7.30277)
172: (x, y) = (27.8917, -5.88855)
173: (x, y) = (29.8322, -5.40471)
174: (x, y) = (31.3185, -6.74297)
175: (x, y) = (30.1149, -8.34024)
176: (x, y) = (28.6055, -9.65236)
177: (x, y) = (28.0207, -11.565)
178: (x, y) = (26.3064, -12.595)
179: (x, y) = (24.8437, -11.231)
180: (x, y) = (24.1597, -9.35166)
181: (x, y) = (22.2576, -9.9697)
182: (x, y) = (20.8433, -8.55548)
183: (x, y) = (19.3806, -9.91948)
184: (x, y) = (21.3612, -9.64113)
185: (x, y) = (23.3536, -9.46682)
186: (x, y) = (23.2838, -7.46804)
187: (x, y) = (23.6996, -5.51175)
188: (x, y) = (25.3379, -4.36459)
189: (x, y) = (27.323, -4.60833)
190: (x, y) = (26.9414, -2.64508)
191: (x, y) = (28.5174, -3.8764)
192: (x, y) = (30.487, -4.2237)
193: (x, y) = (29.7703, -6.09086)
194: (x, y) = (28.4063, -7.55356)
195: (x, y) = (28.0246, -9.51682)
196: (x, y) = (26.112, -8.93208)
197: (x, y) = (27.6441, -7.6465)
198: (x, y) = (27.7836, -5.65137)
199: (x, y) = (26.2973, -4.31311)
200: (x, y) = (27.3572, -6.00921)
201: (x, y) = (27.0788, -7.98974)
202: (x, y) = (28.0788, -6.25769)
203: (x, y) = (29.3375, -7.81198)
204: (x, y) = (29.5465, -9.80103)
205: (x, y) = (28.8625, -11.6804)
206: (x, y) = (26.8652, -11.7851)
207: (x, y) = (28.8406, -11.4722)
208: (x, y) = (30.7725, -10.9546)
209: (x, y) = (30.633, -12.9497)
210: (x, y) = (28.9556, -11.8604)
211: (x, y) = (27.8085, -10.2221)
212: (x, y) = (27.3246, -8.28153)
213: (x, y) = (25.527, -7.40479)
214: (x, y) = (24.0176, -8.71691)
215: (x, y) = (23.2684, -6.86254)
216: (x, y) = (24.9827, -5.83247)
217: (x, y) = (26.3467, -7.29517)
218: (x, y) = (27.2857, -5.52928)
219: (x, y) = (28.0991, -3.70219)
220: (x, y) = (29.2747, -5.32022)
221: (x, y) = (27.3522, -4.76895)
222: (x, y) = (29.1181, -3.83)
223: (x, y) = (29.9948, -5.62759)
224: (x, y) = (30.5125, -7.55944)
225: (x, y) = (29.3088, -5.96217)
226: (x, y) = (30.0903, -4.12116)
227: (x, y) = (30.1601, -2.12238)
228: (x, y) = (28.2114, -1.67248)
229: (x, y) = (26.4293, -0.764497)
230: (x, y) = (26.151, 1.21604)
231: (x, y) = (25.4999, 3.10708)
232: (x, y) = (26.1179, 1.20496)
233: (x, y) = (27.8499, 2.20496)
234: (x, y) = (28.9098, 3.90106)
235: (x, y) = (29.3936, 5.84165)
236: (x, y) = (27.6116, 6.74963)
237: (x, y) = (26.8302, 8.59064)
238: (x, y) = (26.9697, 10.5858)
239: (x, y) = (25.0134, 11.0016)
240: (x, y) = (26.9044, 11.6527)
241: (x, y) = (26.3868, 13.5846)
242: (x, y) = (24.4462, 14.0684)
243: (x, y) = (26.4413, 13.9289)
244: (x, y) = (25.1292, 15.4383)
245: (x, y) = (26.9112, 16.3463)
246: (x, y) = (28.7906, 15.6623)
247: (x, y) = (26.8885, 16.2803)
248: (x, y) = (28.7679, 15.5963)
249: (x, y) = (30.2306, 16.9603)
250: (x, y) = (29.8833, 18.9299)
251: (x, y) = (30.468, 17.0173)
252: (x, y) = (30.8496, 18.9805)
253: (x, y) = (32.8496, 18.9805)
254: (x, y) = (32.6753, 20.9729)
255: (x, y) = (31.5569, 19.3148)
256: (x, y) = (30.3533, 20.9121)
257: (x, y) = (28.4407, 21.4969)
258: (x, y) = (26.5281, 20.9121)
259: (x, y) = (27.3416, 19.085)
260: (x, y) = (25.361, 18.8067)
261: (x, y) = (26.2063, 16.9941)
262: (x, y) = (26.3806, 15.0017)
263: (x, y) = (28.3369, 14.5858)
264: (x, y) = (26.4348, 13.9678)
265: (x, y) = (24.6221, 13.1226)
266: (x, y) = (25.4674, 14.9352)
267: (x, y) = (27.4428, 14.6223)
268: (x, y) = (25.4795, 14.2407)
269: (x, y) = (27.3205, 15.0222)
270: (x, y) = (25.4533, 15.7389)
271: (x, y) = (25.7317, 17.7194)
272: (x, y) = (24.5004, 19.2955)
273: (x, y) = (26.1387, 18.1483)
274: (x, y) = (26.5545, 20.1046)
275: (x, y) = (25.2424, 21.614)
276: (x, y) = (23.8037, 20.2247)
277: (x, y) = (24.8338, 21.939)
278: (x, y) = (25.6152, 20.098)
279: (x, y) = (23.8026, 19.2528)
280: (x, y) = (25.6002, 18.376)
281: (x, y) = (25.4259, 16.3837)
282: (x, y) = (27.421, 16.5232)
283: (x, y) = (27.9387, 14.5913)
284: (x, y) = (27.7644, 12.5989)
285: (x, y) = (27.4515, 14.5743)
286: (x, y) = (25.5604, 15.2254)
287: (x, y) = (25.3514, 13.2364)
288: (x, y) = (23.9621, 14.6751)
289: (x, y) = (25.9609, 14.6053)
290: (x, y) = (26.6449, 16.4847)
291: (x, y) = (28.2422, 15.281)
292: (x, y) = (26.3016, 15.7649)
293: (x, y) = (24.7043, 14.5612)
294: (x, y) = (26.0164, 13.0518)
295: (x, y) = (28.0115, 13.1913)
296: (x, y) = (28.9505, 14.9572)
297: (x, y) = (28.2013, 13.1029)
298: (x, y) = (26.8373, 11.6402)
299: (x, y) = (26.2525, 9.72755)
300: (x, y) = (26.2874, 7.72786)
301: (x, y) = (25.8716, 5.77156)
302: (x, y) = (24.1057, 4.83262)
303: (x, y) = (25.66, 6.09126)
304: (x, y) = (25.451, 8.0803)
305: (x, y) = (26.0022, 6.15778)
306: (x, y) = (24.0326, 6.50508)
307: (x, y) = (25.5647, 5.2195)
308: (x, y) = (23.9674, 4.01587)
309: (x, y) = (25.7801, 3.17063)
310: (x, y) = (23.8482, 3.68827)
311: (x, y) = (24.7562, 5.47029)
312: (x, y) = (24.007, 7.32465)
313: (x, y) = (25.5164, 8.63677)
314: (x, y) = (27.4727, 8.22095)
315: (x, y) = (26.7559, 6.35379)
316: (x, y) = (25.2017, 7.61243)
317: (x, y) = (27.056, 8.36164)
318: (x, y) = (25.274, 9.26962)
319: (x, y) = (23.5967, 10.3589)
320: (x, y) = (22.9786, 8.45679)
321: (x, y) = (22.8043, 10.4492)
322: (x, y) = (24.7064, 9.83114)
323: (x, y) = (25.7663, 11.5272)
324: (x, y) = (27.1045, 10.0409)
325: (x, y) = (27.918, 8.21386)
326: (x, y) = (28.7315, 6.38677)
327: (x, y) = (27.95, 4.54576)
328: (x, y) = (29.1256, 6.16379)
329: (x, y) = (27.2346, 6.81493)
330: (x, y) = (25.7025, 8.1005)
331: (x, y) = (27.3605, 6.98212)
332: (x, y) = (28.1098, 5.12775)
333: (x, y) = (30.066, 4.71193)
334: (x, y) = (28.9768, 3.03459)
335: (x, y) = (30.7427, 3.97353)
336: (x, y) = (29.0653, 5.06281)
337: (x, y) = (29.4126, 3.09319)
338: (x, y) = (31.3689, 2.67737)
339: (x, y) = (30.2505, 1.01929)
340: (x, y) = (29.0469, 2.61656)
341: (x, y) = (30.8445, 3.49331)
342: (x, y) = (31.8445, 1.76126)
343: (x, y) = (30.8445, 0.0292044)
344: (x, y) = (31.626, 1.87021)
345: (x, y) = (29.7466, 2.55425)
346: (x, y) = (28.4879, 4.10855)
347: (x, y) = (28.8352, 6.07816)
348: (x, y) = (26.8364, 6.00836)
349: (x, y) = (25.0238, 6.8536)
350: (x, y) = (24.6765, 8.82321)
351: (x, y) = (25.1942, 10.7551)
352: (x, y) = (24.1343, 12.4512)
353: (x, y) = (24.4127, 14.4317)
354: (x, y) = (26.4051, 14.606)
355: (x, y) = (26.9227, 16.5379)
356: (x, y) = (28.8452, 17.0891)
357: (x, y) = (29.8452, 15.3571)
358: (x, y) = (31.4212, 14.1258)
359: (x, y) = (32.5105, 12.4484)
360: (x, y) = (34.2925, 11.5404)
361: (x, y) = (36.0901, 10.6637)
362: (x, y) = (36.0552, 8.664)
363: (x, y) = (35.8809, 6.67161)
364: (x, y) = (33.9491, 6.15398)
365: (x, y) = (32.291, 7.27236)
366: (x, y) = (30.3591, 7.79)
367: (x, y) = (32.2612, 7.17197)
368: (x, y) = (33.0747, 8.99906)
369: (x, y) = (34.8723, 9.8758)
370: (x, y) = (33.2963, 8.64448)
371: (x, y) = (31.3557, 8.16063)
372: (x, y) = (32.587, 9.73665)
373: (x, y) = (34.3191, 10.7367)
374: (x, y) = (35.4946, 9.11862)
375: (x, y) = (37.47, 8.80575)
376: (x, y) = (35.5068, 8.42413)
377: (x, y) = (36.7104, 6.82686)
378: (x, y) = (37.8288, 5.16879)
379: (x, y) = (36.9835, 3.35617)
380: (x, y) = (38.7811, 2.47943)
381: (x, y) = (40.2198, 3.86875)
382: (x, y) = (38.2635, 3.45292)
383: (x, y) = (38.0198, 5.43801)
384: (x, y) = (36.8442, 7.05605)
385: (x, y) = (34.9421, 6.43801)
386: (x, y) = (32.9616, 6.71636)
387: (x, y) = (34.8934, 7.234)
388: (x, y) = (36.863, 7.58129)
389: (x, y) = (35.4737, 9.01997)
390: (x, y) = (36.96, 7.68171)
391: (x, y) = (38.8726, 7.09697)
392: (x, y) = (40.752, 6.41293)
393: (x, y) = (39.388, 4.95022)
394: (x, y) = (38.3579, 6.66456)
395: (x, y) = (36.3655, 6.83887)
396: (x, y) = (35.5203, 5.02625)
397: (x, y) = (33.6659, 5.77547)
398: (x, y) = (31.8249, 6.55693)
399: (x, y) = (29.8298, 6.41742)
400: (x, y) = (27.8347, 6.2779)
401: (x, y) = (27.0854, 4.42353)
402: (x, y) = (28.9876, 5.04157)
403: (x, y) = (27.8692, 3.38349)
404: (x, y) = (26.1371, 4.38349)
405: (x, y) = (24.2146, 3.83222)
406: (x, y) = (23.8673, 5.80183)
407: (x, y) = (25.7583, 5.1507)
408: (x, y) = (24.1611, 6.35433)
409: (x, y) = (24.3701, 4.36528)
410: (x, y) = (24.0573, 6.34066)
411: (x, y) = (23.1183, 8.10656)
412: (x, y) = (24.6504, 6.82098)
413: (x, y) = (25.3671, 4.95382)
414: (x, y) = (23.7288, 3.80667)
415: (x, y) = (25.2151, 2.46841)
416: (x, y) = (23.9565, 4.0227)
417: (x, y) = (23.5749, 2.05944)
418: (x, y) = (25.3569, 1.15146)
419: (x, y) = (23.8475, 2.46358)
420: (x, y) = (23.6731, 0.471191)
421: (x, y) = (21.7605, 1.05593)
422: (x, y) = (23.7529, 0.881623)
423: (x, y) = (22.9077, -0.930993)
424: (x, y) = (22.6293, -2.91153)
425: (x, y) = (24.5856, -3.32735)
426: (x, y) = (25.5553, -1.57811)
427: (x, y) = (23.8592, -0.518274)
428: (x, y) = (22.2011, 0.600112)
429: (x, y) = (22.2011, 2.60011)
430: (x, y) = (23.967, 1.66117)
431: (x, y) = (25.7162, 0.691549)
432: (x, y) = (23.9842, -0.308451)
433: (x, y) = (22.4979, -1.64671)
434: (x, y) = (22.8795, 0.316542)
435: (x, y) = (24.8792, 0.351447)
436: (x, y) = (25.5632, -1.52794)
437: (x, y) = (26.8219, 0.0263539)
438: (x, y) = (25.1638, -1.09203)
439: (x, y) = (25.7485, 0.820578)
440: (x, y) = (27.4259, -0.2687)
441: (x, y) = (28.7899, -1.73141)
442: (x, y) = (29.6979, 0.0506052)
443: (x, y) = (30.2826, -1.862)
444: (x, y) = (29.4374, -3.67462)
445: (x, y) = (27.7053, -2.67462)
446: (x, y) = (26.8918, -4.50171)
447: (x, y) = (26.0784, -6.3288)
448: (x, y) = (27.3905, -4.81938)
449: (x, y) = (27.3556, -2.81969)
450: (x, y) = (29.1532, -1.94294)
451: (x, y) = (27.1641, -2.152)
452: (x, y) = (25.9605, -0.554731)
453: (x, y) = (25.3758, -2.46734)
454: (x, y) = (25.9938, -0.565227)
455: (x, y) = (27.743, 0.404392)
456: (x, y) = (26.9616, 2.2454)
457: (x, y) = (25.5976, 3.70811)
458: (x, y) = (26.9097, 5.21753)
459: (x, y) = (25.5976, 6.72695)
460: (x, y) = (25.4233, 8.71934)
461: (x, y) = (24.8385, 6.80673)
462: (x, y) = (24.4227, 8.76302)
463: (x, y) = (25.5983, 7.14499)
464: (x, y) = (24.753, 8.9576)
465: (x, y) = (25.9286, 10.5756)
466: (x, y) = (27.1322, 8.97837)
467: (x, y) = (28.5464, 10.3926)
468: (x, y) = (28.0288, 12.3244)
469: (x, y) = (26.1378, 12.9756)
470: (x, y) = (28.1131, 12.6627)
471: (x, y) = (28.6979, 14.5753)
472: (x, y) = (30.6466, 14.1254)
473: (x, y) = (31.8222, 15.7434)
474: (x, y) = (30.5909, 14.1674)
475: (x, y) = (29.3595, 12.5914)
476: (x, y) = (29.8094, 14.5401)
477: (x, y) = (31.7791, 14.1928)
478: (x, y) = (33.7487, 13.8455)
479: (x, y) = (35.7475, 13.7757)
480: (x, y) = (37.1368, 12.3371)
481: (x, y) = (39.0593, 12.8883)
482: (x, y) = (37.0669, 12.714)
483: (x, y) = (37.3798, 14.6894)
484: (x, y) = (35.8255, 15.948)
485: (x, y) = (35.3756, 13.9993)
486: (x, y) = (34.6915, 15.8787)
487: (x, y) = (33.516, 17.4967)
488: (x, y) = (33.2376, 15.5162)
489: (x, y) = (31.3582, 16.2002)
490: (x, y) = (30.9424, 14.2439)
491: (x, y) = (32.9397, 14.1393)
492: (x, y) = (34.1433, 15.7365)
493: (x, y) = (36.1433, 15.7365)
494: (x, y) = (37.2326, 14.0592)
495: (x, y) = (38.742, 15.3713)
496: (x, y) = (39.2933, 13.4488)
497: (x, y) = (38.2334, 15.1449)
498: (x, y) = (39.7197, 13.8066)
499: (x, y) = (41.4158, 14.8665)
500: (x, y) = (39.5887, 15.6799)
501: (x, y) = (37.589, 15.645)
502: (x, y) = (39.4301, 14.8636)
503: (x, y) = (37.8328, 16.0672)
504: (x, y) = (37.2147, 17.9693)
505: (x, y) = (37.5276, 19.9447)
506: (x, y) = (36.7462, 18.1037)
507: (x, y) = (34.7538, 17.9294)
508: (x, y) = (35.3718, 19.8315)
509: (x, y) = (34.2825, 18.1541)
510: (x, y) = (32.2853, 18.0495)
511: (x, y) = (34.0828, 18.9262)
512: (x, y) = (32.9073, 20.5442)
513: (x, y) = (34.8878, 20.8226)
514: (x, y) = (36.755, 20.1059)
515: (x, y) = (35.2456, 21.418)
516: (x, y) = (35.0712, 19.4256)
517: (x, y) = (35.1062, 21.4253)
518: (x, y) = (34.9666, 19.4301)
519: (x, y) = (33.0179, 19.8801)
520: (x, y) = (31.9878, 21.5944)
521: (x, y) = (30.0653, 22.1457)
522: (x, y) = (31.6626, 23.3493)
523: (x, y) = (33.0266, 24.812)
524: (x, y) = (34.6446, 25.9876)
525: (x, y) = (36.524, 25.3035)
526: (x, y) = (36.5938, 27.3023)
527: (x, y) = (38.1911, 26.0987)
528: (x, y) = (37.7412, 28.0474)
529: (x, y) = (38.0195, 26.0669)
530: (x, y) = (36.6555, 24.6042)
531: (x, y) = (36.2739, 22.6409)
532: (x, y) = (35.9266, 24.6105)
533: (x, y) = (36.4104, 26.5511)
534: (x, y) = (36.5499, 24.556)
535: (x, y) = (34.784, 23.6171)
536: (x, y) = (32.943, 24.3985)
537: (x, y) = (31.052, 25.0497)
538: (x, y) = (30.8777, 23.0573)
539: (x, y) = (30.4961, 25.0205)
540: (x, y) = (30.4961, 23.0205)
541: (x, y) = (30.5659, 25.0193)
542: (x, y) = (32.5656, 24.9844)
543: (x, y) = (34.1836, 26.16)
544: (x, y) = (35.8979, 25.1299)
545: (x, y) = (37.7523, 24.3807)
546: (x, y) = (35.7572, 24.5202)
547: (x, y) = (35.2059, 26.4427)
548: (x, y) = (36.2059, 24.7107)
549: (x, y) = (37.5952, 23.272)
550: (x, y) = (37.7347, 21.2769)
551: (x, y) = (38.7043, 23.0261)
552: (x, y) = (37.7654, 24.792)
553: (x, y) = (35.7681, 24.6873)
554: (x, y) = (35.1501, 26.5894)
555: (x, y) = (33.3525, 27.4662)
556: (x, y) = (31.4399, 28.0509)
557: (x, y) = (32.1891, 29.9053)
558: (x, y) = (34.1524, 29.5237)
559: (x, y) = (32.6661, 30.8619)
560: (x, y) = (31.1118, 29.6033)
561: (x, y) = (31.1816, 31.6021)
562: (x, y) = (31.1467, 29.6024)
563: (x, y) = (32.6561, 28.2903)
564: (x, y) = (30.7336, 28.8415)
565: (x, y) = (28.7363, 28.7369)
566: (x, y) = (30.2906, 29.9955)
567: (x, y) = (31.8666, 28.7642)
568: (x, y) = (30.2486, 27.5886)
569: (x, y) = (31.367, 25.9305)
570: (x, y) = (32.2122, 24.1179)
571: (x, y) = (31.0086, 25.7152)
572: (x, y) = (30.7995, 23.7261)
573: (x, y) = (31.6448, 21.9135)
574: (x, y) = (33.2831, 23.0607)
575: (x, y) = (32.0795, 21.4634)
576: (x, y) = (32.1841, 19.4662)
577: (x, y) = (32.4279, 21.4512)
578: (x, y) = (34.3073, 20.7672)
579: (x, y) = (32.6299, 19.6779)
580: (x, y) = (34.2272, 20.8816)
581: (x, y) = (33.0516, 22.4996)
582: (x, y) = (31.3743, 23.5889)
583: (x, y) = (29.5617, 24.4341)
584: (x, y) = (30.8203, 22.8798)
585: (x, y) = (29.6167, 24.4771)
586: (x, y) = (27.6179, 24.4073)
587: (x, y) = (29.5404, 23.856)
588: (x, y) = (30.2896, 25.7104)
589: (x, y) = (31.7523, 27.0744)
590: (x, y) = (33.7447, 26.9001)
591: (x, y) = (34.3295, 24.9875)
592: (x, y) = (32.9912, 26.4737)
593: (x, y) = (32.7821, 24.4847)
594: (x, y) = (31.8432, 26.2506)
595: (x, y) = (32.7199, 24.453)
596: (x, y) = (34.252, 23.1674)
597: (x, y) = (36.0013, 24.137)
598: (x, y) = (34.7157, 25.6691)
599: (x, y) = (32.7206, 25.8087)
600: (x, y) = (30.908, 24.9634)
601: (x, y) = (31.7214, 26.7905)
602: (x, y) = (29.729, 26.9648)
603: (x, y) = (29.0779, 28.8559)
604: (x, y) = (31.0776, 28.8908)
605: (x, y) = (29.3633, 27.8607)
606: (x, y) = (27.725, 26.7135)
607: (x, y) = (26.0669, 27.8319)
608: (x, y) = (26.8804, 26.0048)
609: (x, y) = (27.6618, 27.8458)
610: (x, y) = (26.4305, 26.2698)
611: (x, y) = (28.1964, 25.3309)
612: (x, y) = (29.0416, 27.1435)
613: (x, y) = (30.9327, 27.7946)
614: (x, y) = (32.9324, 27.7597)
615: (x, y) = (34.873, 28.2436)
616: (x, y) = (36.7751, 28.8616)
617: (x, y) = (34.7754, 28.8267)
618: (x, y) = (33.4898, 27.2946)
619: (x, y) = (33.6293, 29.2897)
620: (x, y) = (33.3856, 31.2748)
621: (x, y) = (31.9714, 29.8606)
622: (x, y) = (31.1261, 28.048)
623: (x, y) = (29.814, 26.5386)
624: (x, y) = (28.5284, 28.0707)
625: (x, y) = (30.5257, 28.1753)
626: (x, y) = (32.123, 29.379)
627: (x, y) = (33.699, 28.1476)
628: (x, y) = (35.3951, 29.2075)
629: (x, y) = (33.4388, 29.6233)
630: (x, y) = (35.4084, 29.9706)
631: (x, y) = (34.3191, 28.2933)
632: (x, y) = (33.7678, 30.2158)
633: (x, y) = (31.7788, 30.0067)
634: (x, y) = (30.2245, 28.7481)
635: (x, y) = (32.0917, 28.0313)
636: (x, y) = (32.0568, 26.0317)
637: (x, y) = (33.2323, 24.4136)
638: (x, y) = (32.0852, 26.0519)
639: (x, y) = (32.6028, 27.9838)
640: (x, y) = (34.5516, 28.4337)
641: (x, y) = (33.2394, 26.9243)
642: (x, y) = (33.5523, 24.9489)
643: (x, y) = (33.9681, 26.9052)
644: (x, y) = (32.9681, 28.6372)
645: (x, y) = (31.2189, 29.6068)
646: (x, y) = (32.8369, 28.4313)
647: (x, y) = (31.3275, 29.7434)
648: (x, y) = (29.5004, 28.9299)
649: (x, y) = (27.5598, 28.4461)
650: (x, y) = (26.1456, 27.0319)
651: (x, y) = (27.1757, 25.3175)
652: (x, y) = (27.9249, 23.4632)
653: (x, y) = (27.2082, 25.3303)
654: (x, y) = (25.2385, 25.6776)
655: (x, y) = (26.052, 23.8505)
656: (x, y) = (27.9926, 23.3667)
657: (x, y) = (26.2267, 22.4277)
658: (x, y) = (25.7429, 20.4871)
659: (x, y) = (25.0917, 18.5961)
660: (x, y) = (24.3425, 16.7417)
661: (x, y) = (24.203, 14.7466)
662: (x, y) = (22.9717, 16.3226)
663: (x, y) = (24.9607, 16.1136)
664: (x, y) = (26.5788, 14.938)
665: (x, y) = (25.0245, 13.6794)
666: (x, y) = (26.8065, 12.7714)
667: (x, y) = (26.2888, 14.7032)
